Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable
?a  <hasRace>  <Caucasian>   => ?a  <hasToxicity>  <Cutaneas>,0.010068906,0.333052986,0.333052986,396,1189,1189,?a
?a  <hasToxicity>  <Analyticals>   => ?a  <hasToxicity>  <Asthensia>,0.013882885,0.8125,0.8125,546,672,672,?a
?a  <hasGender>  <Male>   => ?a  <hasToxicity>  <Asthensia>,0.012611559,0.570114943,0.570114943,496,870,870,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasToxicity>  <Asthensia>,0.017518879,0.579478553,0.579478553,689,1189,1189,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasToxicity>  <Asthensia>,0.01172163,0.724842767,0.724842767,461,636,636,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasToxicity>  <Asthensia>,0.0161967,0.662162162,0.662162162,637,962,962,?a
?a  <hasToxicity>  <Asthensia>   => ?a  <hasToxicity>  <Analyticals>,0.013882885,0.764705882,0.764705882,546,714,714,?a
?a  <hasGender>  <Male>   => ?a  <hasToxicity>  <Analyticals>,0.01187419,0.536781609,0.536781609,467,870,870,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasToxicity>  <Analyticals>,0.016476391,0.544995795,0.544995795,648,1189,1189,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasToxicity>  <Analyticals>,0.010501157,0.649371069,0.649371069,413,636,636,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasToxicity>  <Analyticals>,0.014518549,0.593555094,0.593555094,571,962,962,?a
?a  <hasToxicity>  <Analytcal_hepatica>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.01520784,0.198237885,0.2,45,227,225,?a
?a  <hasToxicity>  <Endocrinas>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014869888,0.208530806,0.211538462,44,211,208,?a
?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.034471105,0.151785714,0.154311649,102,672,661,?a
?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014869888,0.176,0.179591837,44,250,245,?a
?a  <hasToxicity>  <NoToxicity>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.024332545,0.243243243,0.253521127,72,296,284,?a
?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.021966881,0.181564246,0.183615819,65,358,354,?a
?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.022642785,0.169191919,0.170918367,67,396,392,?a
?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.040216289,0.166666667,0.170731707,119,714,697,?a
?a  <hasToxicity>  <Allergy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014531936,0.159851301,0.159851301,43,269,269,?a
?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.027036161,0.193236715,0.1937046,80,414,413,?a
?a  <hasGender>  <Female>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.025008449,0.198924731,0.20498615,74,372,361,?a
?a  <hasGender>  <Male>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.046637377,0.15862069,0.16254417,138,870,849,?a
?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.021290977,0.235074627,0.235074627,63,268,268,?a
?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.015545792,0.226600985,0.226600985,46,203,203,?a
?a  <hasOncologicalTreatment>  <Surgery>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.018925313,0.106463878,0.106463878,56,526,526,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.07063197,0.217255717,0.217255717,209,962,962,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.046637377,0.216981132,0.216981132,138,636,636,?a
?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.036498817,0.176470588,0.181818182,108,612,594,?a
?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.033119297,0.199592668,0.203319502,98,491,482,?a
?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.016559649,0.157051282,0.160130719,49,312,306,?a
?a  <hasStage>  <IV>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.017911457,0.18466899,0.194139194,53,287,273,?a
?a  <hasStage>  <IVB>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.014193984,0.35,0.362068966,42,120,116,?a
?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.044271713,0.218333333,0.223931624,131,600,585,?a
?a  <hasStage>  <IVA>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012842176,0.452380952,0.506666667,38,84,75,?a
?a  <hasNoBio>  <NoPDL1>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.012504224,0.366336634,0.389473684,37,101,95,?a
?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.029739777,0.33460076,0.352,88,263,250,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.067928354,0.169049622,0.17357513,201,1189,1158,?a
?a  <hasNoBio>  <NoEGFR>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.042919905,0.312039312,0.324808184,127,407,391,?a
?a  <hasNoBio>  <NoBRAF>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.010476512,0.258333333,0.262711864,31,120,118,?a
?a  <hasNoBio>  <NoALK>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.039878337,0.318918919,0.33427762,118,370,353,?a
?a  <hasBio>  <PDL1>   => ?a  <hasOncologicalTreatment>  <Immunotherapy>,0.024670497,0.521428571,0.544776119,73,140,134,?a
?a  <hasToxicity>  <Analytcal_hepatica>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.010476512,0.136563877,0.137777778,31,227,225,?a
?a  <hasToxicity>  <Analyticals>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.047989186,0.211309524,0.214826021,142,672,661,?a
?a  <hasToxicity>  <Endocrinas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.012842176,0.180094787,0.182692308,38,211,208,?a
?a  <hasToxicity>  <General>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018249409,0.216,0.220408163,54,250,245,?a
?a  <hasToxicity>  <Renal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.01013856,0.206896552,0.20979021,30,145,143,?a
?a  <hasToxicity>  <Pneumological>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.039878337,0.329608939,0.333333333,118,358,354,?a
?a  <hasToxicity>  <Gastrointestinal>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.026698209,0.199494949,0.201530612,79,396,392,?a
?a  <hasToxicity>  <Allergy>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018587361,0.204460967,0.204460967,55,269,269,?a
?a  <hasToxicity>  <Asthensia>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.05373437,0.222689076,0.228120516,159,714,697,?a
?a  <hasGender>  <Female>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.021290977,0.169354839,0.174515235,63,372,361,?a
?a  <hasToxicity>  <Cutaneas>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.035147009,0.251207729,0.251815981,104,414,413,?a
?a  <hasOncologicalTreatment>  <Surgery>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.018925313,0.106463878,0.106463878,56,526,526,?a
?a  <hasGender>  <Male>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.047313282,0.16091954,0.164899882,140,870,849,?a
?a  <hasOncologicalTreatment>  <Immunotherapy>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.015545792,0.216981132,0.216981132,46,212,212,?a
?a  <hasOncologicalTreatment>  <Radical>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.046637377,0.514925373,0.514925373,138,268,268,?a
?a  <hasOncologicalTreatment>  <Chemotherapy>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.068604258,0.211018711,0.211018711,203,962,962,?a
?a  <hasSmokingHabit>  <CurrentSmoker>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.029739777,0.179226069,0.182572614,88,491,482,?a
?a  <hasSmokingHabit>  <FormerSmoker>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.034133153,0.16503268,0.17003367,101,612,594,?a
?a  <histologyLabel_ENG>  <squamous_cell_carcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.026698209,0.253205128,0.258169935,79,312,306,?a
?a  <hasStage>  <IIIB>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.022642785,0.475177305,0.485507246,67,141,138,?a
?a  <histologyLabel_ENG>  <adenocarcinoma>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.028725921,0.141666667,0.145299145,85,600,585,?a
?a  <hasOncologicalTreatment>  <Radiotherapy>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.06725245,0.312893082,0.312893082,199,636,636,?a
?a  <hasStage>  <IIIA>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.030077729,0.367768595,0.369294606,89,242,241,?a
?a  <hasNoBio>  <NoROS1>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.012504224,0.140684411,0.148,37,263,250,?a
?a  <hasOncologicalSurgery>  <Lymph_node_excision>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.011152416,0.105769231,0.106109325,33,312,311,?a
?a  <hasRace>  <Caucasian>   => ?a  <hasOncologicalTreatment>  <Chemotherapy-Radiotherapy>,0.066576546,0.16568545,0.170120898,197,1189,1158,?a
