"drug","cui"
"Mesna","C0000294"
"Tremelimumab","C2351038"
"Bavituximab","C1707382"
"Bemcentinib","C4763383"
"Bevacizumab","C0796392"
"Brigatinib","C4287815"
"Dabrafenib","C3467876"
"Dacomitinib","C2987430"
"Daratumumab","C2346801"
"Durvalumab","C4055109"
"Etoposide","C0015133"
"Everolimus","C0541315"
"Ifosfamide","C0020823"
"Ipilimumab","C1367202"
"Irinotecan","C0123931"
"Irvalec","C3494499"
"Lanreotide","C0209211"
"Lifastuzumab","C4552887"
"Nazartinib","C4507321"
"Necitumumab","C2352806"
"Osimertinib","C4058811"
"Rabusertib","C3642428"
"Ramucirumab","C2742502"
"Rociletinib","C4045493"
"Rovalpituzumab","C4726713"
"Temozolomide","C0076080"
"Tepotinib","C4287799"
"Afatinib","C2987648"
"Alectinib","C3853921"
"Alisertib","C2987636"
"Octreotide","C0028833"
"Olaparib","C2316164"
"Abemaciclib","C3852841"
"Anetumab","C4744796"
"Atezolizumab","C4055433"
"Galunisertib","C3896943"
"Nintedanib","C2930789"
"Nivolumab","C3657270"
"Ceritinib","C3818721"
"Cetuximab","C0995188"
"Cisplatin","C0008838"
"Ganetespib","C3467824"
"Gefitinib","C1122962"
"Gemcitabine","C0045093"
"Other","C0205394"
"Oxaliplatin","C0069717"
"Paclitaxel","C0144576"
"Pembrolizumab","C3658706"
"Pemetrexed","C0210657"
"Vinorelbine","C0078257"
"Avelumab","C4055417"
"Azacitidine","C0004475"
"Canakinumab","C2718773"
"Capecitabine","C0671970"
"Capmatinib","C4053698"
"Carboplatin","C0079083"
"Cemiplimab","C4724806"
"Crizotinib","C2974289"
"Demcizumab","C2698134"
"Denosumab","C1690432"
"Docetaxel","C0246415"
"Entrectinib","C4086264"
"Epacadostat","C4086265"
"Erlotinib","C1135135"
"Lorlatinib","C4080091"
"Vandetanib","C1121849"
"Vemurafenib","C3192263"
"Xentuzumab","C4508939"
"Selumetinib","C2980074"
"Seribantumab","C4042753"
"Tipifarnib","C1176289"
"Tiragolumab","C5235391"
"Tivantinib","C2987651"
"Topotecan","C0146224"
"Trabectedin","C1311070"
"Trametinib","C2697961"
"PM060184","C3272412"
"Bevacizumab_vs_Placebo","C0796392"
"Ciclofosfamide","C0010583"
"Demcizumab_vs_Placebo","C2698134"
"Dostarlimab_(TSR_042)","C5242455"
"Doxorrubicine","C0013089"
"Durvalumab_(MEDI4736)","C4055109"
"Emibetuzumab_(LY2875358)","C4519736"
"Lurbinectedin_(PM1183)","C3898565"
"Onartuzumab_(MetMAb)_vs_Placebo","C2826110"
"Pembrolizumab_vs_Placebo","C3658706"
"Prexasertib_(LY2606368)","C4287806"
"Vadimezan_(ASA404)","C2930490"
"Veliparib_(ABT-_888)","C1958300"
"Veliparib_(ABT-_888)_vs_Placebo","C1958300"
"Vincristinea","C0042679"
"Amrubicina","C0762659"
"Eribulina","C2350866"
"Etoposide_VP16","C0015133"
"Kahalalide_F","C0386319"
"Nab-Paclitaxel","C1527223"
"Rovalpituzumab_vs_Placebo","C4726713"
"Sorafenib_vs_Placebo","C1516119"
"UNK","C0439673"
"5-Fluorouracil","C0016360"
"AMG","C0002708"
"Antiangiogenic_(blind_clinical_trial)","C0596087"
"Custirsen_(OGX-_011)","C4079860"
"Durvalumab_(MEDI4736)_vs_Placebo","C4055109"
"Emactuzumab_(RG7155)","C4078926"
"Onartuzumab_(MetMAb)","C2826110"
"Paclitaxel_poliglumex_(CT-_2103)","C1702776"
"Tiragolumab_vs_Placebo","C5235391"
"Tirapazamina","C0208407"
"Vadimezan_(ASA404)_vs_Placebo","C2930490"
"Abraxane_Nab-Paclitaxel","C1564985"
